ip.src	ip.dst	ip.proto
192.168.3.131	72.14.213.138	6.0
72.14.213.138	192.168.3.131	6.0
192.168.3.131	72.14.213.102	6.0
192.168.3.131	72.14.213.138	6.0
72.14.213.102	192.168.3.131	6.0
192.168.3.131	72.14.213.102	6.0
192.168.3.131	72.14.213.102	6.0
192.168.3.131	72.14.213.102	6.0
72.14.213.102	192.168.3.131	6.0
72.14.213.102	192.168.3.131	6.0
192.168.3.131	72.14.213.102	6.0
72.14.213.102	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	65.55.206.209	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
65.55.206.209	192.168.3.131	6.0
192.168.3.131	65.55.206.209	6.0
192.168.3.131	65.55.206.209	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.138	6.0
65.55.206.209	192.168.3.131	6.0
72.14.213.138	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
72.14.213.147	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	207.46.148.38	6.0
192.168.3.131	65.55.206.209	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
207.46.148.38	192.168.3.131	6.0
192.168.3.131	207.46.148.38	6.0
192.168.3.131	207.46.148.38	6.0
207.46.148.38	192.168.3.131	6.0
192.168.3.131	207.46.148.38	6.0
192.168.3.131	207.46.148.38	6.0
192.168.3.131	66.235.139.121	6.0
192.168.3.131	72.14.213.138	6.0
192.168.3.131	72.14.213.147	6.0
207.46.148.38	192.168.3.131	6.0
192.168.3.131	65.55.5.232	6.0
192.168.3.131	65.55.239.163	6.0
66.235.139.121	192.168.3.131	6.0
192.168.3.131	66.235.139.121	6.0
192.168.3.131	66.235.139.121	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
65.55.5.232	192.168.3.131	6.0
192.168.3.131	65.55.5.232	6.0
192.168.3.131	65.55.5.232	6.0
72.14.213.147	192.168.3.131	6.0
65.55.5.232	192.168.3.131	6.0
66.235.139.121	192.168.3.131	6.0
65.55.239.163	192.168.3.131	6.0
192.168.3.131	65.55.239.163	6.0
192.168.3.131	65.55.239.163	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	65.55.5.231	6.0
65.55.5.231	192.168.3.131	6.0
192.168.3.131	65.55.5.231	6.0
192.168.3.131	65.55.5.231	6.0
65.55.5.231	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
192.168.3.131	206.108.207.139	6.0
192.168.3.131	184.24.133.32	6.0
206.108.207.139	192.168.3.131	6.0
192.168.3.131	206.108.207.139	6.0
