loading app controller.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app controller.py of QoSSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
[STP][INFO] dpid=0000000000000001: Join as stp bridge.
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: Join as stp bridge.
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=2] Receive superior BPDU.
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: Non root bridge.
[STP][INFO] dpid=0000000000000001: [port=2] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: Join as stp bridge.
[STP][INFO] dpid=0000000000000003: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=1] Receive superior BPDU.
[STP][INFO] dpid=0000000000000003: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000003: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000003: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000003: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000003: Non root bridge.
[STP][INFO] dpid=0000000000000003: [port=1] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000003: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000003: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=3] Receive superior BPDU.
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: Non root bridge.
[STP][INFO] dpid=0000000000000001: [port=2] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000004: Join as stp bridge.
[STP][INFO] dpid=0000000000000004: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000004: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000004: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] Receive superior BPDU.
[STP][INFO] dpid=0000000000000004: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000001: Non root bridge.
[STP][INFO] dpid=0000000000000001: [port=2] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000001: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000001: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: Join as stp bridge.
[STP][INFO] dpid=0000000000000005: [port=6] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=5] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=2] Receive superior BPDU.
[STP][INFO] dpid=0000000000000005: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: Root bridge.
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000006: Join as stp bridge.
[STP][INFO] dpid=0000000000000006: [port=6] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000006: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000006: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000006: [port=5] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000006: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=3] Receive superior BPDU.
[STP][INFO] dpid=0000000000000006: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: Root bridge.
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=6] Receive superior BPDU.
[STP][INFO] dpid=0000000000000005: [port=6] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: [port=5] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000005: Non root bridge.
[STP][INFO] dpid=0000000000000005: [port=6] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000005: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=5] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000005: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: Join as stp bridge.
[STP][INFO] dpid=0000000000000007: [port=6] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=5] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=4] Receive superior BPDU.
[STP][INFO] dpid=0000000000000007: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000002: Root bridge.
[STP][INFO] dpid=0000000000000002: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000002: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=6] Receive superior BPDU.
[STP][INFO] dpid=0000000000000007: [port=6] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: [port=4] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: [port=1] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: [port=5] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: [port=2] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: [port=3] DESIGNATED_PORT     / BLOCK
[STP][INFO] dpid=0000000000000007: Non root bridge.
[STP][INFO] dpid=0000000000000007: [port=6] ROOT_PORT           / LISTEN
[STP][INFO] dpid=0000000000000007: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=5] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=2] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000007: [port=3] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000008: Join as stp bridge.
[STP][INFO] dpid=0000000000000008: [port=1] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000008: [port=6] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000008: [port=4] DESIGNATED_PORT     / LISTEN
[STP][INFO] dpid=0000000000000008: [port=5] DESIGNATED_PORT     / LISTEN
